user_id,product_id,product_category,product_name,description,price,review_score,Crawl Timestamp,Qty
09c6ad3c20a6e08dffdf9533dd8e0e6a,B06Y6F448Y,Fragrance," Denver Hamilton Deo Imperial, 165ml ","All New Denver Hamilton Imperial for the one whose reputayion precedes him. A masculine scent with an excellent play musk and exotic spices that compliments a winning attitude, its a powerful symphony of success and confidence whose time has come.",168,1,2019-10-28 14:36:40 +0000,4
d74c01a1611dc9ef4a4e5472d9168731,B07MCPGBWC,Hair Care, PINK ROOT KERTAIN CONDITIONER AND SHAMPOO 200ML ,"PINK ROOT KERTAIN SHAMPOO AND CONDITIONER (PACK OF 2), FOR SMOOTH AND STRAIGHT HAIR SHAMPOO 200ML, WITH COLOUR PROTECTION",518,4,2019-10-28 21:54:06 +0000,150
0b770ca989383dd4454236c06316a3f1,B077TRZZF6,Grocery & Gourmet Foods," TE-A-ME Masala Tea, 25 Tea Bags ",Indulge in this rich blend of Indian spices and full-bodied black tea to get the true 'desi' flavour from every cup. A blend of high grown Assam teas with real spices - no artificial flavours.,128,5,2019-10-31 07:41:05 +0000,100
1cf21dd0e96f9441991496a3f53d240d,B07H5PQ1NB,Fragrance," Parag fragrances Kasturi Perfume for Men and Women, 60 ml ","Parag fragrances kasturi 60ml ( natural fragrance and long-lasting) best perfume for men, best fragrance for men and women.",849,5,2019-10-29 16:05:52 +0000,100
b43fd0ec0d16d719bb5323a7f24aeae0,B07QL6M7R7,Skin Care," Carmex Classic Lip Balm, Lip Protectant Sunscreen Spf 15, 0.15 Oz (Pack Of 12) ",Brand New! Factory Direct! Packaging May Vary!,7040,4,2019-10-31 00:29:04 +0000,3000
3d378fd22f84b5ebb518e4f48cf5cb59,B079HXS4DF,Skin Care, Livewell Ororex Herbal Pain Oil by Livewell ,"It's no secret that pain can come in different forms including pain caused by damage to the tissues, joints, muscles, neuropathic pain and inflammatory pain. Livewell Pain Oil is contains Sesamum indicum oil, Sesamum indicum extract, Atis, Jaiphal and Kaiphal extract. 

 Sesamum indicum oil - derived from sesame (Sesamum indicum), a tall annual herb from the Pedaliaceae family, sesame oil is commonly used as a food ingredient and condiment, as well as for medicinal uses. The sesame plant has been cultivated for thousands of years, and is believed to be the world's oldest plant used as an oil. In Ayurvedic therapy, sesame oil is renowned for its ability to strengthen and detoxify the body and ensure the proper functioning of all the vital organs. It's also used in sacred and religious ceremonies.

 Clove botanically known as Syzygium aromaticum. It rank as the richest source of antioxidants. Eugenol present in cloves makes it vital for a number of medicinal and nutritional properties. Clove as anti- inflammatory properties so can be used in treating joint pain.it is used in dentistry as anaesthatic.

 Aconitium uetaropyllum: The latin name of the plant is Aconitum heterophyllum and it belongs to Aconitaceae family. Ativisha is the ayurvedic name of a herb known as atis in Hindi. Ativisha has an anti toxic effect on the body. It helps balance all three doshas in the body especially the kapha and pitta.

 Jaiphal known as nutmeg in English, Myristica fragrance botanically. Jaiphal is a powerful herbal alternative medicine known. Nutmeg (Jaiphal) is an egg-shaped seed from nutmeg fruit. It is used to treat join pain. Nutmeg is used for diarrhea, nausea, stomach spasms and pain, and intestinal gas also. Javitri is the outer lacy covering that surrounds the hard nutmeg seeds. Myristica fragrans (Javitri/Jatiphala) is applied in joint pains and headache.",288,4,2019-10-30 02:16:39 +0000,12
1d6b50dac1e9edb2d6d13452f69a2026,B07Z23X9XB,Grocery & Gourmet Foods, Ahura spices Super Garam Masala 250 Gram jar ,Ahura spices whole spice no preservative no artificial color .,190,4,2019-10-30 18:39:14 +0000,12
1d836a717fc4151a457028b6e3cd8db5,B07YL1NZBB,Fragrance, Parag Fragrances (W Series Attar) Oudh of Shrilanka Bhapka Processed Attar For Men 6ml / 0% Alcohol/Best Attar For Winter (Long Lasting and Chemical Free Natural Agarwood Attar) ,Naturally Processed Oudh Wood (Agarwood) Attar / Best Oud Attar For Winter / Best Attar For Men / Long Lasting Oud Attar For Men,709,1,2019-10-28 22:10:46 +0000,4
73995b73f39a34d62895fd38e157ba11,B076BFX4JX,Skin Care, Himalaya Intensive Face Moisturizing & Nourishing Lotion With Refreshing Cleansing Milk- Pack of 3 ,"Himalaya's Nourishing Body Lotion combines herbal actives to restore your body's water content, as varying weather conditions make skin lose its moisture. The non-greasy body lotion leaves skin feeling soft, supple and toned. Blended with all natural ingredients such as Aloe Vera and Winter Cherry, which are known for their intense hydrating properties, our body lotion deeply penetrates into the skin to moisturize it fully Himalaya's Soothing Body Lotion is a silky, lightweight and non-greasy body lotion that combines all the goodness of naturally derived ingredients to soothe and moisturize your skin, making it look noticeably softer and smoother. The oils of Almond and Grape Seed prevent skin from cracking and provide hydration to help maintain the skin's natural moisture balance.",280,1,2019-10-29 18:00:32 +0000,630
1751cc37845e3efda2a96ebd863d68dc,B07QV622L4,Skin Care, Gel Moisturizing Spa Gloves and Socks Heel Socks for Dry Hands and Feet - Fast Cracked Heel Repair and Simple Foot Skin Care with Gel Foot Sleeves for Women and Men Blue ,Gel Moisturizing Spa Gloves and Socks Heel Socks for Dry Hands and Feet - Fast Cracked Heel Repair and Simple Foot Skin Care with Gel Foot Sleeves for Women and Men Blue,999,4,2019-10-30 18:43:46 +0000,1
